target,model,target_mode,params,cv_r2,cv_rmse,cv_mae
height,GradientBoosting,log1p,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 0.1}",0.9572291868302258,1.0499818268029122,0.7997346780863357
height,GradientBoosting,raw,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.02}",0.9311733915299296,1.3943562782232348,1.1013332649150676
height,GradientBoosting,log1p,"{'subsample': 0.85, 'n_estimators': 200, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.02}",0.9275754776572752,1.4344156447606813,1.1485611990086066
height,GradientBoosting,raw,"{'subsample': 0.7, 'n_estimators': 700, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.05}",0.9370723649945066,1.3097718308748365,1.0274615217945318
height,GradientBoosting,log1p,"{'subsample': 0.7, 'n_estimators': 700, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.05}",0.9339311946070039,1.3426013773567422,1.0627647861954599
height,Ridge,raw,{'alpha': 0.01},0.6174992492122144,3.3276524690705678,2.7219732761196385
height,Ridge,raw,{'alpha': 0.1},0.6195014660698304,3.318897039496033,2.711086383643965
height,Ridge,raw,{'alpha': 1.0},0.6241262612956475,3.301002863915067,2.754728112906547
height,Ridge,raw,{'alpha': 5.0},0.6051197810832638,3.3870244268119136,2.940483869944887
height,Ridge,raw,{'alpha': 10.0},0.5871193735843957,3.464122321655907,3.0516700410994693
height,Ridge,raw,{'alpha': 20.0},0.5662031864788599,3.5513129863288837,3.177831754161361
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.3, 'alpha': 0.01}",0.6257741458830687,3.293290446427836,2.749263127741398
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.1, 'alpha': 0.05}",0.5969713093924811,3.4206674862975306,2.9884277718403887
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.9, 'alpha': 0.0005}",0.6157419061564445,3.3363179709780106,2.732837285511118
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.7, 'alpha': 0.0005}",0.617342813232206,3.328705372041464,2.723491159448929
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.1, 'alpha': 0.0005}",0.6191009417856659,3.3206468248408663,2.712507779444478
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.7, 'alpha': 0.01}",0.6255880445173673,3.2932682321543028,2.7110598779013104
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.5, 'alpha': 0.01}",0.6260502931401606,3.2916858828889297,2.72973030765679
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.5, 'alpha': 0.0005}",0.6179987833693011,3.325676426381956,2.7197063298982735
height,ElasticNet,raw,"{'max_iter': 5000, 'l1_ratio': 0.7, 'alpha': 0.05}",0.614352929483109,3.344729425518298,2.8668503452485803
